###Seconds (since Midnight UTC) 	 Chan 0 rate 	 Error in Chan0 	 Chan 1 rate 	 Error in Chan1 	 Chan 2 rate 	 Error in Chan2 	 Chan 3 rate 	 Error in Chan3 	 Trigger rate	Error in Triggers 	 Raw BA output 	 Temp (DegC) 	 Bus Voltage 	 #GPS satellites in view 
39241	18.87708	0.25043	19.28571	0.25312	18.75748	0.24963	19.07973	0.25177	7.94684	0.16249	1044	9.5	3.31	09
39541	19.26667	0.25342	19.67667	0.25610	19.23667	0.25322	18.84333	0.25062	7.84333	0.16169	1044	9.5	3.31	06
39842	18.81728	0.25003	19.37209	0.25369	18.70432	0.24928	19.09302	0.25186	7.57475	0.15864	1044	9.5	3.31	07
40143	18.78073	0.24979	19.54817	0.25484	18.59136	0.24853	19.15282	0.25225	7.71429	0.16009	1044	9.4	3.31	08
40444	19.51827	0.25465	19.59468	0.25514	18.79070	0.24986	19.17608	0.25240	7.86711	0.16167	1044	9.4	3.31	08
40745	19.01661	0.25135	19.83056	0.25668	18.77076	0.24972	19.41528	0.25397	7.86711	0.16167	1044	9.4	3.31	08
41046	19.00000	0.25124	19.66113	0.25558	18.88372	0.25047	19.34219	0.25350	7.84385	0.16143	1044	9.4	3.31	07
41347	18.86047	0.25032	18.89701	0.25056	18.57807	0.24844	18.71761	0.24937	7.62126	0.15912	1044	9.4	3.31	06
41647	18.82667	0.25051	19.19000	0.25292	18.95000	0.25133	18.98667	0.25157	7.72333	0.16045	1044	9.5	3.3	05
41948	18.84718	0.25023	19.09635	0.25188	18.28239	0.24645	18.71429	0.24935	7.59801	0.15888	1044	9.5	3.31	05
42249	18.91362	0.25067	19.54817	0.25484	18.85714	0.25030	19.34219	0.25350	7.98339	0.16286	1044	9.4	3.31	05
42550	18.57475	0.24842	19.11628	0.25201	18.40532	0.24728	18.72093	0.24939	7.71429	0.16009	1044	9.4	3.31	05
42851	18.64452	0.24888	19.23588	0.25280	19.04319	0.25153	18.74751	0.24957	7.79070	0.16088	1044	9.4	3.31	05
43152	19.08306	0.25179	19.15947	0.25229	18.88704	0.25049	18.98671	0.25115	7.89701	0.16198	1044	9.4	3.31	06
43453	18.95681	0.25096	18.92027	0.25072	18.38538	0.24715	18.79070	0.24986	7.54817	0.15836	1044	9.5	3.31	05
43753	19.01000	0.25173	19.84333	0.25719	19.04000	0.25193	19.20000	0.25298	7.89000	0.16217	1044	9.5	3.31	04
44054	18.30233	0.24659	19.22924	0.25275	17.94352	0.24416	18.25581	0.24627	7.38206	0.15660	1044	9.5	3.305	05
44355	18.87375	0.25041	19.32558	0.25339	18.33555	0.24681	18.58804	0.24850	7.67774	0.15971	1044	9.5	3.31	06
44656	18.73754	0.24950	19.45183	0.25421	18.83056	0.25012	19.00000	0.25124	7.84385	0.16143	1044	9.6	3.305	06
44957	18.90698	0.25063	19.27575	0.25306	18.56478	0.24835	18.83389	0.25014	7.87043	0.16170	1044	9.4	3.305	07
45258	18.85382	0.25027	19.83721	0.25672	18.74086	0.24952	18.98007	0.25111	7.77076	0.16068	1044	9.5	3.31	05
45559	18.50498	0.24795	18.95681	0.25096	18.13621	0.24547	18.51495	0.24802	7.27907	0.15551	1044	9.5	3.31	06
45859	19.14333	0.25261	19.50000	0.25495	18.73667	0.24991	19.14667	0.25263	7.83000	0.16155	1044	9.4	3.31	07
46160	19.15947	0.25229	19.70764	0.25588	19.17940	0.25243	19.03987	0.25151	7.88372	0.16184	1045	9.2	3.31	07
46461	18.55482	0.24828	18.92359	0.25074	18.44850	0.24757	18.57807	0.24844	7.54485	0.15832	1045	9.5	3.305	08
46762	18.32226	0.24672	19.07309	0.25173	18.37209	0.24706	18.84053	0.25019	7.68771	0.15981	1044	9.5	3.31	08
47063	18.48505	0.24781	18.68771	0.24917	18.31561	0.24668	18.85714	0.25030	7.52824	0.15815	1045	9.5	3.31	06
47364	18.73090	0.24946	19.41860	0.25400	19.00997	0.25131	19.10963	0.25197	7.62458	0.15916	1045	9.6	3.3	08
47665	18.51163	0.24799	19.55150	0.25486	19.01661	0.25135	18.78405	0.24981	7.78738	0.16085	1045	9.6	3.31	08
47965	18.29667	0.24696	18.86333	0.25075	18.67000	0.24947	18.45667	0.24804	7.40333	0.15709	1045	9.6	3.305	06
48266	18.60797	0.24864	19.31894	0.25334	18.21262	0.24598	18.36877	0.24703	7.66113	0.15954	1045	9.6	3.31	07
48567	18.73754	0.24950	19.68771	0.25575	18.37209	0.24706	18.70100	0.24926	7.43854	0.15720	1045	9.5	3.31	05
